step,action
13,35
14,35
0,35
0,35
1,35
2,35
3,35
4,35
5,35
0,39
1,39
2,39
0,39
1,39
2,39
3,39
4,39
5,39
6,39
7,39
8,39
9,39
10,39
0,17
1,39
2,3
0,39
1,39
0,39
1,39
2,39
3,39
4,39
5,39
0,39
1,39
2,39
3,39
4,35
0,39
1,39
2,39
3,39
4,39
0,39
1,39
2,39
3,39
4,39
5,39
0,39
1,39
2,39
0,2
1,39
2,39
3,39
4,39
5,39
6,39
7,39
0,39
1,39
2,39
3,39
4,39
5,39
0,39
1,39
0,39
1,39
2,39
3,39
4,39
0,39
1,39
2,39
3,39
4,39
5,39
6,39
0,39
1,39
2,39
0,39
1,39
2,39
3,39
4,39
5,39
0,39
1,39
2,39
0,39
1,39
2,39
3,39
0,39
1,39
2,39
3,39
4,39
5,39
6,39
7,39
8,39
0,39
1,39
2,39
3,39
4,39
5,39
6,39
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
3,18
4,18
5,18
6,18
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,18
5,18
6,18
0,18
1,18
2,18
3,4
4,18
5,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
0,18
1,18
2,18
0,18
1,18
2,18
0,18
1,18
2,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,18
5,28
0,18
1,18
2,18
3,18
4,18
5,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
3,18
0,18
1,18
2,19
0,18
1,18
0,18
1,18
2,23
3,18
4,18
5,18
6,18
0,18
1,18
2,18
3,18
4,18
5,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
0,18
1,18
0,18
1,18
0,18
1,18
0,18
1,18
2,18
3,18
4,18
5,18
6,18
0,18
1,18
2,18
3,18
4,18
5,18
0,1
1,18
2,18
0,18
1,18
2,18
0,18
1,13
0,18
1,8
2,18
3,36
4,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
3,18
0,3
1,3
2,3
0,3
1,3
0,3
1,3
2,3
3,3
0,30
1,3
2,3
3,3
4,3
0,3
1,3
2,3
3,3
0,3
1,3
2,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
0,3
1,3
2,3
3,3
4,3
0,3
1,3
2,3
3,3
4,3
0,3
1,3
2,3
0,3
1,3
2,3
0,3
1,3
2,3
3,3
0,3
1,3
0,3
1,3
2,3
3,3
4,3
0,3
1,3
2,3
3,3
4,3
5,3
0,3
1,3
2,3
0,3
1,3
2,3
0,3
1,3
2,3
3,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,8
9,3
10,24
0,3
1,3
2,3
3,3
0,3
1,3
0,3
1,3
0,3
1,3
2,3
3,3
4,3
0,3
1,3
2,3
0,3
1,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
0,3
1,3
2,3
3,3
4,3
5,35
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
0,3
1,3
2,3
3,3
0,3
1,3
2,3
3,3
4,3
5,4
6,3
7,3
8,3
9,3
10,3
0,3
1,3
2,3
3,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
0,3
1,3
2,3
3,3
4,3
0,3
1,3
2,3
0,3
1,3
2,3
0,3
1,3
2,3
3,3
4,3
5,3
0,3
1,3
2,3
3,3
4,3
5,3
0,3
1,3
2,3
0,3
1,4
2,3
3,3
4,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
0,37
1,6
2,31
3,31
0,37
1,31
0,37
1,31
2,31
3,35
0,37
1,37
2,31
0,6
1,31
2,31
0,37
1,6
2,31
3,35
0,37
1,13
2,35
0,37
1,31
2,37
3,37
4,28
5,35
6,35
0,31
1,37
2,31
3,37
4,37
5,35
0,37
1,31
2,31
3,37
4,35
0,31
1,35
2,35
0,35
1,35
2,35
3,35
4,35
0,31
1,19
2,35
0,31
1,35
0,31
1,35
2,35
3,35
4,35
5,35
6,35
7,35
0,37
1,35
0,31
1,35
2,35
0,31
1,35
2,35
0,31
1,35
0,31
1,35
2,35
3,35
4,35
5,9
6,35
7,35
8,35
0,35
1,35
2,35
3,35
4,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,35
0,35
1,35
2,35
3,35
0,35
0,35
1,35
2,35
0,35
1,35
2,35
3,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
0,35
1,35
2,35
3,35
0,35
1,35
0,35
1,35
2,35
3,35
4,35
5,35
0,35
1,35
2,35
3,35
0,35
0,35
1,35
0,35
1,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,36
10,36
0,35
0,35
1,35
2,35
0,35
0,35
0,35
1,35
2,35
0,35
0,36
1,35
0,35
1,35
0,35
