step,action
1,17
2,15
3,14
4,39
5,38
0,13
1,39
2,7
3,38
0,27
1,7
2,18
3,8
0,18
0,31
1,27
2,27
0,9
1,1
2,40
3,41
4,18
5,27
6,40
7,8
8,39
0,2
1,9
2,9
3,7
4,14
5,12
0,27
1,23
2,40
3,31
4,41
5,23
0,22
0,4
1,0
0,39
1,29
2,40
3,30
0,27
1,38
2,39
0,0
1,10
2,9
3,4
4,15
5,39
6,24
0,13
1,23
2,10
0,27
1,30
2,22
0,38
1,8
2,39
3,39
0,9
1,39
2,18
3,29
4,41
0,9
1,9
2,29
3,9
4,38
5,30
6,17
7,25
0,5
1,4
0,29
1,41
0,23
1,29
2,15
3,17
4,39
0,8
1,25
2,39
3,34
0,10
1,40
2,17
3,27
0,14
1,7
0,9
1,27
2,25
0,8
1,24
2,0
0,9
1,17
2,15
3,4
4,39
5,15
6,4
7,38
0,23
1,5
2,12
3,27
4,9
0,9
1,43
0,30
1,9
2,1
3,9
0,17
1,27
2,5
3,38
4,12
0,9
1,24
2,38
3,38
4,40
0,23
1,0
2,17
3,17
4,2
5,27
6,39
7,17
0,27
1,2
2,23
3,4
4,39
5,29
6,31
0,23
0,29
1,7
0,23
1,14
2,25
3,8
0,15
1,39
2,36
3,29
0,29
1,18
2,40
0,9
1,38
2,8
3,2
4,14
5,4
6,27
7,41
8,39
0,9
1,15
2,17
3,3
4,17
5,24
6,9
7,36
8,39
9,8
10,12
0,23
1,38
2,17
3,2
4,36
5,28
6,39
7,18
8,4
9,39
0,14
1,9
2,18
3,15
4,36
0,30
1,27
2,29
3,15
4,25
0,23
1,9
2,40
3,37
4,10
5,42
6,19
0,17
1,9
2,21
0,1
1,39
2,6
3,27
4,30
5,7
6,39
7,2
0,10
1,23
2,14
3,39
4,17
5,29
6,38
7,29
0,23
1,9
2,38
3,30
4,9
0,40
1,18
2,9
0,24
1,15
2,15
3,17
4,9
0,0
0,23
1,10
0,18
1,6
0,9
1,9
2,31
3,27
4,39
