step,action
4,38
5,35
0,36
1,13
2,26
3,25
0,24
1,28
2,5
3,15
0,31
1,30
2,24
3,7
4,8
5,15
6,12
0,29
0,26
1,35
2,37
3,15
4,30
0,27
1,23
2,13
3,28
4,42
5,23
6,13
7,29
8,30
9,37
10,28
11,10
0,16
1,30
2,18
0,16
1,27
2,31
0,37
1,28
2,18
0,7
1,26
2,14
3,24
0,27
1,25
2,42
3,11
0,27
1,6
2,27
0,12
1,14
2,31
3,27
4,16
5,28
6,28
7,27
0,39
1,15
2,6
0,19
1,16
0,25
1,27
2,12
0,39
1,10
0,28
1,23
2,28
3,36
4,6
0,12
1,27
2,1
0,33
0,26
1,18
2,28
3,25
4,39
5,14
0,41
1,10
0,30
1,30
2,38
3,15
4,13
0,17
1,27
2,30
3,24
4,5
5,28
6,24
7,36
8,30
0,25
1,25
2,30
3,9
4,31
5,15
6,27
7,19
8,26
0,1
1,27
2,3
3,39
4,29
0,15
1,24
0,14
1,11
0,17
1,10
0,11
1,13
2,28
3,15
4,25
5,15
0,25
1,10
2,25
3,41
4,26
5,22
0,37
1,35
0,25
1,43
2,19
3,28
4,28
5,28
6,1
0,27
1,10
0,30
1,23
2,26
3,28
4,25
5,40
6,26
7,27
8,38
0,25
1,27
2,30
3,41
0,10
1,7
2,27
3,38
4,6
5,24
